location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 03:00:00,0,0,3,0.19,0.19,0.19,0.19,0.19,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 09:00:00,6,6,9,0.1,0.04,0.0,0.0,0.1,0.1
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 15:00:00,12,12,15,0.03,0.01,0.0,0.0,0.03,0.03
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 21:00:00,18,18,21,0.13,0.066,0.1,0.0,0.13,0.13
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 03:00:00,24,24,27,0.1,0.08,0.1,0.0,0.2,0.2
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 09:00:00,30,30,33,0.01,0.086,0.01,0.0,0.29,0.29
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 15:00:00,36,36,39,0.0,0.074,0.0,0.0,0.37,0.37
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 21:00:00,42,42,45,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 03:00:00,48,48,51,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 09:00:00,54,54,57,0.0,0.052000000000000005,0.0,0.0,0.26,0.26
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 21:00:00,66,66,69,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 03:00:00,72,72,75,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 09:00:00,78,78,81,0.0,0.004,0.0,0.0,0.02,0.02
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 15:00:00,84,84,87,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 21:00:00,90,90,93,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 03:00:00,96,96,99,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 09:00:00,102,102,105,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 15:00:00,108,108,111,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 21:00:00,114,114,117,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 03:00:00,120,120,123,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 09:00:00,126,126,129,0.0,0.46399999999999997,0.0,0.0,2.32,2.32
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 15:00:00,132,132,135,0.0,0.098,0.0,0.0,0.49,0.49
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 21:00:00,138,138,141,0.0,0.03,0.0,0.0,0.15,0.15
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 03:00:00,144,144,147,0.0,1.6400000000000001,0.0,0.0,8.200000000000001,8.200000000000001
