location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error,event_significant,bust,bust_type,month,season,control_vs_ensemble,relative_spread,ensemble_range_ratio,forecast_intensity
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 03:00:00,0,0,3,0.19,0.19,0.19,0.19,0.19,0.0,0.0028610229492187,0.1871389770507813,0.1871389770507813,0.1871389770507813,0.1871389770507813,False,0,normal,1,winter,0.0,0.0,0.0,0.19
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 09:00:00,6,6,9,0.1,0.04,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.1,0.04,False,0,normal,1,winter,0.060000000000000005,0.7142857142857143,0.7142857142857143,0.04
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 15:00:00,12,12,15,0.03,0.01,0.0,0.0,0.03,0.03,0.0,0.03,0.01,0.03,0.01,False,0,normal,1,winter,0.019999999999999997,0.2727272727272727,0.2727272727272727,0.01
Chennai,13.0827,80.2707,2000-01-01,2000-01-01 21:00:00,18,18,21,0.13,0.066,0.1,0.0,0.13,0.13,0.0,0.13,0.066,0.13,0.066,False,0,normal,1,winter,0.064,0.7831325301204819,0.7831325301204819,0.066
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 03:00:00,24,24,27,0.1,0.08,0.1,0.0,0.2,0.2,0.0066757202148437,0.0933242797851563,0.0733242797851563,0.0933242797851563,0.0733242797851563,False,0,normal,1,winter,0.020000000000000004,1.1111111111111112,1.1111111111111112,0.08
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 09:00:00,30,30,33,0.01,0.086,0.01,0.0,0.29,0.29,0.0,0.01,0.086,0.01,0.086,False,0,normal,1,winter,-0.076,1.5591397849462365,1.5591397849462365,0.086
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 15:00:00,36,36,39,0.0,0.074,0.0,0.0,0.37,0.37,0.0181198120117187,-0.0181198120117187,0.0558801879882812,0.0181198120117187,0.0558801879882812,False,0,normal,1,winter,-0.074,2.1264367816091956,2.1264367816091956,0.074
Chennai,13.0827,80.2707,2000-01-01,2000-01-02 21:00:00,42,42,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 03:00:00,48,48,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 09:00:00,54,54,57,0.0,0.052,0.0,0.0,0.26,0.26,0.0,0.0,0.052,0.0,0.052,False,0,normal,1,winter,-0.052,1.710526315789474,1.710526315789474,0.052
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 21:00:00,66,66,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 03:00:00,72,72,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 09:00:00,78,78,81,0.0,0.004,0.0,0.0,0.02,0.02,0.0,0.0,0.004,0.0,0.004,False,0,normal,1,winter,-0.004,0.1923076923076923,0.1923076923076923,0.004
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 15:00:00,84,84,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 21:00:00,90,90,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0810623168945312,-0.0810623168945312,-0.0810623168945312,0.0810623168945312,0.0810623168945312,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 03:00:00,96,96,99,0.0,0.0,0.0,0.0,0.0,0.0,0.1368522644042968,-0.1368522644042968,-0.1368522644042968,0.1368522644042968,0.1368522644042968,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 09:00:00,102,102,105,0.0,0.0,0.0,0.0,0.0,0.0,0.347137451171875,-0.347137451171875,-0.347137451171875,0.347137451171875,0.347137451171875,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 15:00:00,108,108,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0195503234863281,-0.0195503234863281,-0.0195503234863281,0.0195503234863281,0.0195503234863281,False,0,normal,1,winter,0.0,0.0,0.0,0.0
