issue_time,target_time,lead_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,bust_probability,predicted_bust,risk_level,diagnosis,primary_signal
2026-09-15T06:00:00,2026-09-15T09:00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3382,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-15T12:00:00,6,0.0,0.0,0.0,0.0,0.0,0.0,0.3485,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-15T15:00:00,9,0.0,0.0,0.0,0.0,0.0,0.0,0.3485,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-15T18:00:00,12,0.0,0.0,0.0,0.0,0.0,0.0,0.3485,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-15T21:00:00,15,0.0,0.02,0.0,0.0,0.1,0.1,0.2288,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-16T00:00:00,18,0.8,0.2,0.1,0.0,0.8,0.8,0.7106,1,HIGH,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-16T03:00:00,21,0.0,0.0,0.0,0.0,0.0,0.0,0.7172,1,HIGH,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-16T06:00:00,24,0.1,0.02,0.0,0.0,0.1,0.1,0.4359,0,MODERATE,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-16T09:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,0.3131,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-16T12:00:00,30,0.0,0.0,0.0,0.0,0.0,0.0,0.3131,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-16T15:00:00,33,0.0,0.1,0.0,0.0,0.5,0.5,0.2114,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-16T18:00:00,36,0.0,1.8,0.0,0.0,9.0,9.0,0.3823,0,LOW,POSSIBLE MISSED EVENT,Ensemble consensus substantially exceeds control forecast
2026-09-15T06:00:00,2026-09-16T21:00:00,39,0.0,0.6,0.0,0.0,2.94,2.94,0.1684,0,LOW,MODERATE ENSEMBLE UNCERTAINTY,Moderate ensemble disagreement
2026-09-15T06:00:00,2026-09-17T00:00:00,42,0.1,0.7,0.1,0.0,3.0,3.0,0.4688,0,MODERATE,MODERATE ENSEMBLE UNCERTAINTY,Moderate ensemble disagreement
2026-09-15T06:00:00,2026-09-17T03:00:00,45,0.0,0.0,0.0,0.0,0.0,0.0,0.2474,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-17T06:00:00,48,0.0,0.0,0.0,0.0,0.0,0.0,0.2474,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-17T09:00:00,51,0.0,0.0,0.0,0.0,0.0,0.0,0.2474,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-17T12:00:00,54,0.0,0.0,0.0,0.0,0.0,0.0,0.2577,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-17T15:00:00,57,0.0,0.18000000000000002,0.2,0.0,0.4,0.4,0.0657,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-17T18:00:00,60,0.2,2.34,0.2,0.1,10.5,10.4,0.9748,1,CRITICAL,POSSIBLE MISSED EVENT,Ensemble consensus substantially exceeds control forecast
2026-09-15T06:00:00,2026-09-17T21:00:00,63,0.05,0.36,0.0,0.0,1.75,1.75,0.527,0,MODERATE,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-18T00:00:00,66,0.05,0.51,0.05,0.0,1.8,1.8,0.1976,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-18T03:00:00,69,0.0,0.008,0.0,0.0,0.04,0.04,0.2447,0,LOW,WEAK BUST SIGNAL,Weak bust signal
2026-09-15T06:00:00,2026-09-18T06:00:00,72,0.0,0.0,0.0,0.0,0.0,0.0,0.2577,0,LOW,WEAK BUST SIGNAL,Weak bust signal
