forecast_issue_time,target_time,forecast_time_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,bust_probability,predicted_bust,risk_level,diagnosis,primary_signal,recommendation
2000-01-01,2000-01-01 03:00:00,0,0.19,0.19,0.19,0.19,0.19,0.0,0.1222,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-01 09:00:00,6,0.1,0.04,0.0,0.0,0.1,0.1,0.0658,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-01 15:00:00,12,0.03,0.01,0.0,0.0,0.03,0.03,0.0794,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-01 21:00:00,18,0.13,0.066,0.1,0.0,0.13,0.13,0.1878,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-02 03:00:00,24,0.1,0.08,0.1,0.0,0.2,0.2,0.1491,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-02 09:00:00,30,0.01,0.086,0.01,0.0,0.29,0.29,0.0208,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-02 15:00:00,36,0.0,0.074,0.0,0.0,0.37,0.37,0.0148,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-02 21:00:00,42,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-03 03:00:00,48,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-03 09:00:00,54,0.0,0.052000000000000005,0.0,0.0,0.26,0.26,0.0124,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-03 15:00:00,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-03 21:00:00,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-04 03:00:00,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-04 09:00:00,78,0.0,0.004,0.0,0.0,0.02,0.02,0.0157,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-04 15:00:00,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-04 21:00:00,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0138,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-05 03:00:00,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-05 09:00:00,102,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
2000-01-01,2000-01-05 15:00:00,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0,LOW,WEAK BUST SIGNAL,Weak bust signal,No dominant forecast disagreement was identified. Continue normal monitoring.
