decision_threshold,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives
0.5,0.5932203389830508,0.7608695652173914,0.6666666666666666,70,48,22,300
0.51,0.5982905982905983,0.7608695652173914,0.6698564593301436,70,47,22,301
0.52,0.6086956521739131,0.7608695652173914,0.6763285024154589,70,45,22,303
0.53,0.6140350877192983,0.7608695652173914,0.6796116504854369,70,44,22,304
0.54,0.6306306306306306,0.7608695652173914,0.6896551724137931,70,41,22,307
0.55,0.6306306306306306,0.7608695652173914,0.6896551724137931,70,41,22,307
0.56,0.6306306306306306,0.7608695652173914,0.6896551724137931,70,41,22,307
0.57,0.6422018348623854,0.7608695652173914,0.6965174129353234,70,39,22,309
0.58,0.6481481481481481,0.7608695652173914,0.7,70,38,22,310
0.59,0.6509433962264151,0.75,0.696969696969697,69,37,23,311
0.6,0.6509433962264151,0.75,0.696969696969697,69,37,23,311
0.61,0.6509433962264151,0.75,0.696969696969697,69,37,23,311
0.62,0.6571428571428571,0.75,0.700507614213198,69,36,23,312
0.63,0.6666666666666666,0.7391304347826086,0.7010309278350515,68,34,24,314
0.64,0.67,0.7282608695652174,0.6979166666666666,67,33,25,315
0.65,0.67,0.7282608695652174,0.6979166666666666,67,33,25,315
0.66,0.6767676767676768,0.7282608695652174,0.7015706806282722,67,32,25,316
0.67,0.6907216494845361,0.7282608695652174,0.708994708994709,67,30,25,318
0.68,0.6947368421052632,0.717391304347826,0.7058823529411765,66,29,26,319
0.69,0.7096774193548387,0.717391304347826,0.7135135135135136,66,27,26,321
0.7,0.7096774193548387,0.717391304347826,0.7135135135135136,66,27,26,321
0.71,0.7096774193548387,0.717391304347826,0.7135135135135136,66,27,26,321
0.72,0.7142857142857143,0.7065217391304348,0.7103825136612022,65,26,27,322
0.73,0.7111111111111111,0.6956521739130435,0.7032967032967034,64,26,28,322
0.74,0.735632183908046,0.6956521739130435,0.7150837988826816,64,23,28,325
0.75,0.735632183908046,0.6956521739130435,0.7150837988826816,64,23,28,325
0.76,0.7441860465116279,0.6956521739130435,0.7191011235955056,64,22,28,326
0.77,0.7619047619047619,0.6956521739130435,0.7272727272727273,64,20,28,328
0.78,0.7619047619047619,0.6956521739130435,0.7272727272727273,64,20,28,328
0.79,0.7590361445783133,0.6847826086956522,0.72,63,20,29,328
0.8,0.7590361445783133,0.6847826086956522,0.72,63,20,29,328
0.81,0.7590361445783133,0.6847826086956522,0.72,63,20,29,328
0.82,0.775,0.6739130434782609,0.7209302325581395,62,18,30,330
0.83,0.7721518987341772,0.6630434782608695,0.7134502923976608,61,18,31,330
0.84,0.7721518987341772,0.6630434782608695,0.7134502923976608,61,18,31,330
0.85,0.8133333333333334,0.6630434782608695,0.7305389221556886,61,14,31,334
0.86,0.8133333333333334,0.6630434782608695,0.7305389221556886,61,14,31,334
0.87,0.8243243243243243,0.6630434782608695,0.7349397590361446,61,13,31,335
0.88,0.8472222222222222,0.6630434782608695,0.7439024390243902,61,11,31,337
0.89,0.8428571428571429,0.6413043478260869,0.7283950617283951,59,11,33,337
0.9,0.8529411764705882,0.6304347826086957,0.725,58,10,34,338
0.91,0.8529411764705882,0.6304347826086957,0.725,58,10,34,338
0.92,0.8636363636363636,0.6195652173913043,0.7215189873417721,57,9,35,339
0.93,0.8852459016393442,0.5869565217391305,0.7058823529411765,54,7,38,341
0.94,0.8983050847457628,0.5760869565217391,0.7019867549668874,53,6,39,342
0.95,0.896551724137931,0.5652173913043478,0.6933333333333334,52,6,40,342
0.96,0.8909090909090909,0.532608695652174,0.6666666666666666,49,6,43,342
0.97,0.8979591836734694,0.4782608695652174,0.624113475177305,44,5,48,343
0.98,0.9655172413793104,0.30434782608695654,0.4628099173553719,28,1,64,347
0.99,1.0,0.06521739130434782,0.12244897959183673,6,0,86,348
